,Unnamed: 0,0,1,2,classes,colors,Text,Title,Article
0,0,-0.1225158725572199,-0.1095218244378881,-0.2779590343702502,FREEDOM,"(0.86, 0.7612000000000001, 0.33999999999999997)",Everyone whose rights and<br>freedoms as set forth in this<br>Convention are violated shall<br>have an effective remedy<br>before a national authority<br>notwithstanding that the<br>violation has been committed<br>by persons acting in an<br>official capacity.,Right to an effective remedy,13
1,1,0.1978445049906668,0.1863124544489147,-0.1537376710172097,DIGNITY,"(0.86, 0.3712, 0.33999999999999997)",No one shall be subjected to<br>torture or to inhuman or<br>degrading treatment or<br>punishment.,Prohibition of torture,3
2,2,-0.1771725554628852,-0.2648541151328305,0.3270311734851866,FREEDOM,"(0.86, 0.7612000000000001, 0.33999999999999997)","The enjoyment of the rights<br>and freedoms set forth in this<br>Convention shall be secured<br>without discrimination on any<br>ground such as sex, race,<br>colour, language, religion,<br>political or other opinion,<br>national or social origin,<br>association with a national<br>minority, property, birth or<br>other status.",Prohibition of discrimination,14
3,3,-0.0283248918430394,0.3060130041459651,0.0376601691631353,FREEDOM,"(0.86, 0.7612000000000001, 0.33999999999999997)","1. Everyone has the right to<br>respect for his private and<br>family life, his home and his<br>correspondence. 2. There shall<br>be no interference by a public<br>authority with the exercise of<br>this right except such as is<br>in accordance with the law and<br>is necessary in a democratic<br>society in the interests of<br>national security, public<br>safety or the economic well-<br>being of the country, for the<br>prevention of disorder or<br>crime, for the protection of<br>health or morals, or for the<br>protection of the rights and<br>freedoms of others.",Right to respect for private and family life,8
4,4,-0.0522319613709419,0.0672478326112704,0.1107480635868336,DIGNITY,"(0.86, 0.3712, 0.33999999999999997)","1. Everyone has the right to<br>liberty and security of<br>person. No one shall be<br>deprived of his liberty save<br>in the following cases and in<br>accordance with a procedure<br>prescribed by law: (a) the<br>lawful detention of a person<br>after conviction by a<br>competent court; (b) the<br>lawful arrest or detention of<br>a person for noncompliance<br>with the lawful order of a<br>court or in order to secure<br>the fulfilment of any<br>obligation prescribed by law;<br>(c) the lawful arrest or<br>detention of a person effected<br>for the purpose of bringing<br>him before the competent legal<br>authority on reasonable<br>suspicion of having committed<br>an offence or when it is<br>reasonably considered<br>necessary to prevent his<br>committing an offence or<br>fleeing after having done so;<br>(d) the detention of a minor<br>by lawful order for the<br>purpose of educational<br>supervision or his lawful<br>detention for the purpose of<br>bringing him before the<br>competent legal authority; (e)<br>the lawful detention of<br>persons for the prevention of<br>the spreading of infectious<br>diseases, of persons of<br>unsound mind, alcoholics or<br>drug addicts or vagrants; (f)<br>the lawful arrest or detention<br>of a person to prevent his<br>effecting an unauthorised<br>entry into the country or of a<br>person against whom action is<br>being taken with a view to<br>deportation or extradition. 2.<br>Everyone who is arrested shall<br>be informed promptly, in a<br>language which he understands,<br>of the reasons for his arrest<br>and of any charge against him.<br>3. Everyone arrested or<br>detained in accordance with<br>the provisions of paragraph 1<br>(c) of this Article shall be<br>brought promptly before a<br>judge or other officer<br>authorised by law to exercise<br>judicial power and shall be<br>entitled to trial within a<br>reasonable time or to release<br>pending trial. Release may be<br>conditioned by guarantees to<br>appear for trial. 4. Everyone<br>who is deprived of his liberty<br>by arrest or detention shall<br>be entitled to take<br>proceedings by which the<br>lawfulness of his detention<br>shall be decided speedily by a<br>court and his release ordered<br>if the detention is not<br>lawful. 5. Everyone who has<br>been the victim of arrest or<br>detention in contravention of<br>the provisions of this Article<br>shall have an enforceable<br>right to compensation.",Right to liberty and security,5
5,5,-0.0645629590770857,0.0973880232884448,-0.020146969791762,FREEDOM,"(0.86, 0.7612000000000001, 0.33999999999999997)","1. In the determination of his<br>civil rights and obligations<br>or of any criminal charge<br>against him, everyone is<br>entitled to a fair and public<br>hearing within a reasonable<br>time by an independent and<br>impartial tribunal established<br>by law. Judgment shall be<br>pronounced publicly but the<br>press and public may be<br>excluded from all or part of<br>the trial in the interests of<br>morals, public order or<br>national security in a<br>democratic society, where the<br>interests of juveniles or the<br>protection of the private life<br>of the parties so require, or<br>to the extent strictly<br>necessary in the opinion of<br>the court in special<br>circumstances where publicity<br>would prejudice the interests<br>of justice. 2. Everyone<br>charged with a criminal<br>offence shall be presumed<br>innocent until proved guilty<br>according to law 3. Everyone<br>charged with a criminal<br>offence has the following<br>minimum rights: (a) to be<br>informed promptly, in a<br>language which he understands<br>and in detail, of the nature<br>and cause of the accusation<br>against him; (b) to have<br>adequate time and facilities<br>for the preparation of his<br>defence; (c) to defend himself<br>in person or through legal<br>assistance of his own choosing<br>or, if he has not sufficient<br>means to pay for legal<br>assistance, to be given it<br>free when the interests of<br>justice so require; (d) to<br>examine or have examined<br>witnesses against him and to<br>obtain the attendance and<br>examination of witnesses on<br>his behalf under the same<br>conditions as witnesses<br>against him; (e) to have the<br>free assistance of an<br>interpreter if he cannot<br>understand or speak the<br>language used in court.",Right to a fair trial,6
6,6,0.099133251483779,0.0115899550939366,0.2684389091134728,DIGNITY,"(0.86, 0.3712, 0.33999999999999997)","1. Everyone has the right to<br>liberty and security of<br>person. No one shall be<br>deprived of his liberty save<br>in the following cases and in<br>accordance with a procedure<br>prescribed by law: (a) the<br>lawful detention of a person<br>after conviction by a<br>competent court; (b) the<br>lawful arrest or detention of<br>a person for noncompliance<br>with the lawful order of a<br>court or in order to secure<br>the fulfilment of any<br>obligation prescribed by law;<br>(c) the lawful arrest or<br>detention of a person effected<br>for the purpose of bringing<br>him before the competent legal<br>authority on reasonable<br>suspicion of having committed<br>an offence or when it is<br>reasonably considered<br>necessary to prevent his<br>committing an offence or<br>fleeing after having done so;<br>(d) the detention of a minor<br>by lawful order for the<br>purpose of educational<br>supervision or his lawful<br>detention for the purpose of<br>bringing him before the<br>competent legal authority; (e)<br>the lawful detention of<br>persons for the prevention of<br>the spreading of infectious<br>diseases, of persons of<br>unsound mind, alcoholics or<br>drug addicts or vagrants; (f)<br>the lawful arrest or detention<br>of a person to prevent his<br>effecting an unauthorised<br>entry into the country or of a<br>person against whom action is<br>being taken with a view to<br>deportation or extradition. 2.<br>Everyone who is arrested shall<br>be informed promptly, in a<br>language which he understands,<br>of the reasons for his arrest<br>and of any charge against him.<br>3. Everyone arrested or<br>detained in accordance with<br>the provisions of paragraph 1<br>(c) of this Article shall be<br>brought promptly before a<br>judge or other officer<br>authorised by law to exercise<br>judicial power and shall be<br>entitled to trial within a<br>reasonable time or to release<br>pending trial. Release may be<br>conditioned by guarantees to<br>appear for trial. 4. Everyone<br>who is deprived of his liberty<br>by arrest or detention shall<br>be entitled to take<br>proceedings by which the<br>lawfulness of his detention<br>shall be decided speedily by a<br>court and his release ordered<br>if the detention is not<br>lawful. 5. Everyone who has<br>been the victim of arrest or<br>detention in contravention of<br>the provisions of this Article<br>shall have an enforceable<br>right to compensation.",Right to liberty and security,5-1
7,7,0.1064278550248782,0.1034157889181528,0.0786622588951483,FREEDOM,"(0.86, 0.7612000000000001, 0.33999999999999997)","1. In the determination of his<br>civil rights and obligations<br>or of any criminal charge<br>against him, everyone is<br>entitled to a fair and public<br>hearing within a reasonable<br>time by an independent and<br>impartial tribunal established<br>by law. Judgment shall be<br>pronounced publicly but the<br>press and public may be<br>excluded from all or part of<br>the trial in the interests of<br>morals, public order or<br>national security in a<br>democratic society, where the<br>interests of juveniles or the<br>protection of the private life<br>of the parties so require, or<br>to the extent strictly<br>necessary in the opinion of<br>the court in special<br>circumstances where publicity<br>would prejudice the interests<br>of justice. 2. Everyone<br>charged with a criminal<br>offence shall be presumed<br>innocent until proved guilty<br>according to law 3. Everyone<br>charged with a criminal<br>offence has the following<br>minimum rights: (a) to be<br>informed promptly, in a<br>language which he understands<br>and in detail, of the nature<br>and cause of the accusation<br>against him; (b) to have<br>adequate time and facilities<br>for the preparation of his<br>defence; (c) to defend himself<br>in person or through legal<br>assistance of his own choosing<br>or, if he has not sufficient<br>means to pay for legal<br>assistance, to be given it<br>free when the interests of<br>justice so require; (d) to<br>examine or have examined<br>witnesses against him and to<br>obtain the attendance and<br>examination of witnesses on<br>his behalf under the same<br>conditions as witnesses<br>against him; (e) to have the<br>free assistance of an<br>interpreter if he cannot<br>understand or speak the<br>language used in court.",Right to a fair trial,6-1
8,8,-0.0282456885685092,0.018336434476853,-0.0707055208573277,DIGNITY,"(0.86, 0.3712, 0.33999999999999997)",1. Everyone’s right to life<br>shall be protected by law. No<br>one shall be deprived of his<br>life intentionally save in the<br>execution of a sentence of a<br>court following his conviction<br>of a crime for which this<br>penalty is provided by law. 2.<br>Deprivation of life shall not<br>be regarded as inflicted in<br>contravention of this Article<br>when it results from the use<br>of force which is no more than<br>absolutely necessary: (a) in<br>defence of any person from<br>unlawful violence; (b) in<br>order to effect a lawful<br>arrest or to prevent the<br>escape of a person lawfully<br>detained; (c) in action<br>lawfully taken for the purpose<br>of quelling a riot or<br>insurrection.,Right to life,2
9,9,-0.2752680791454375,0.128051945154879,0.0799317739700841,PROTOCOLS,"(0.33999999999999997, 0.43879999999999986, 0.86)","Protection of property Every<br>natural or legal person is<br>entitled to the peaceful<br>enjoyment of his possessions.<br>No one shall be deprived of<br>his possessions except in the<br>public interest and subject to<br>the conditions provided for by<br>law and by the general<br>principles of international<br>law. The preceding provisions<br>shall not, however, in any way<br>impair the right of a State to<br>enforce such laws as it deems<br>necessary to control the use<br>of property in accordance with<br>the general interest or to<br>secure the payment of taxes or<br>other contributions or<br>penalties.",Protection of property,p1-1
